Number of COVID-19 Tests by Municipality of Residence and Week Excluding Congregate Settings Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,UNKNOWN,TOTAL
9/6/20-9/12/20,514,7512,262,349,144,618,1475,729,458,1069,78,93,171,119,126,472,465,50,491,266,61,1680,555,582,271,1611,274,9971,68,230,3618,531,261,215,1381,100,445,330,677,1355,39677
9/13/20-9/19/20,560,8135,308,404,184,749,1744,800,551,1155,128,131,194,161,175,676,598,54,308,352,40,786,743,746,336,1737,350,12114,74,299,3685,681,272,255,1623,138,590,427,882,1358,44503
9/20/20-9/26/20,692,7832,382,489,231,815,1893,1025,687,1373,140,158,231,186,178,743,667,67,384,371,36,944,802,815,411,1968,353,13433,90,345,3722,727,314,277,1790,155,605,537,894,2057,48819
9/27/20-10/3/20,700,7524,483,559,246,909,2000,1039,691,1476,147,138,226,222,173,829,718,89,405,431,27,796,1008,888,407,2348,343,14131,131,345,3698,869,301,271,1854,170,631,556,948,2064,50791
10/4/20-10/10/20,851,7227,492,569,283,991,2275,1231,954,1440,221,189,276,333,245,889,797,90,487,497,29,955,1188,988,422,2418,489,15072,162,422,3843,1385,406,317,2160,237,704,716,963,4332,57545
10/11/20-10/17/20,765,7077,570,622,326,1183,2405,1177,818,1510,189,204,301,275,193,1001,757,106,502,465,43,1033,1149,1018,499,2391,504,14375,159,439,3862,1278,435,326,2377,245,848,741,1104,4534,57806
10/18/20-10/24/20,819,6860,550,821,273,1269,3010,1318,1135,1875,142,183,332,246,193,1205,881,127,703,446,52,1417,1207,1220,451,2983,562,16379,185,529,3790,1108,496,392,2534,213,904,675,1250,5686,64421
10/25/20-10/31/20,994,6847,625,942,245,1265,3155,1515,1189,2039,173,216,371,316,213,1166,1025,141,822,458,62,1205,1311,1302,536,2996,684,15976,185,541,3851,1122,579,470,2861,213,1000,729,1370,4777,65487
11/1/20-11/7/20,966,6806,621,926,292,1426,3301,1476,1318,2032,185,209,392,339,238,1221,1006,126,852,443,84,1316,1293,1282,612,3337,673,16575,221,547,3827,1258,559,494,3086,250,1098,753,1419,4999,67858
11/8/20-11/14/20,881,6633,617,945,331,1445,3497,1466,1291,2149,217,205,318,355,255,1309,949,98,782,497,108,1360,1443,1276,489,3330,692,17169,221,532,3991,1433,537,508,3138,224,1167,786,1321,4824,68789
